"selection1_name","selection1_selection2"
"""Not happy with customer service""","✅ Trip Verified | Redmond/Bend to Seattle. Not happy with Delta's customer service. My flight was delayed twice and then delayed due to weather. I asked for a voucher for the same flights on a different weekend and was only given a credit with their airline for the same amount. The reason I booked this flight was because I couldn't afford anything more, however now all the flights are more expensive. now I have tried to rebook for a different weekend and the ticket is 40 dollars more. After trying to figure out how to enter my credit number in online I was lost and frustrated. Called the company and can only do it over the phone, and now was forced to pay an additional 20$ to the 40$ increase already, to a ""main cabin fee"" vs basic economy(which I originally purchased) because it is their policy. After much complaining and speaking with supervisors I was finally given the basic economy price-still 40$ more than my originally purchased ticket. I am grateful for the basic economy price, but frustrated with the entire situation when I feel as a consumer I should have been given a service for the original price I paid in the beginning."
"""Really bad experience""","Not Verified | San Diego to Las Vegas. Really bad experience, our flight was delayed for 2 hours. Then when we were actually landed, we were sitting on the air strip for 40 minutes after the attendants were telling us to remain seated and it would be only a ""few"" minutes until we were ready to leave the plane. After a frustrating 2 hour delay, many passengers who had to use the restroom but were told to remain in their seats it was really annoying and frustrating. We read good reviews about this airline but unfortunately we were the unlucky few. Even after all of the inconvenience we were not even offered any type of reimbursements, or perks for the inconvenience. They didn't even offer refreshments like juice or soda."
"""Delta is horrible""","✅ Trip Verified | San Diego to South Bend via Detroit. Delta is horrible. Their on time in and out of SBN is abysmal. This weekend they had a 3.5 hr delay in DTW due to equipment that was known at least 4.5 hrs ahead of scheduled departure and refused to put stranded DTW passengers on an open and on time United flight to SBN. Delta offered nothing including no food, no drink and charged amex platinum holders $29 skyclub. So inconsiderate with a 3.5 hr delay it should have beem comp'd. No concern for passengers. Fly United or American from now on."
"""worst airline experience""","✅ Trip Verified | Louisville to Atlanta. Absolutely worst airline experience of my life. First and last time I use Delta. Every flight was overbooked and they kept requesting volunteers to take other flights, 2 of our 4 flights were delayed, one flight delay caused us to miss another flight and we were stuck at the airport for hours. Every plane had to do an involuntary bag check because there was no room left on the plane. People were extremely rude. I can’t believe this airline has stayed in business. Never again."
"""displeased with Delta’s response""","✅ Trip Verified | Cleveland to Savannah via Atlanta. I am very displeased with Delta’s response to my complaint. I was on a flight with a service animal in front of me. I am highly allergic to animals and had an asthma attack. Delta said they cannot deny a service animal due to medical conditions. The man seemed very healthy. My medical condition is chronic due to this incident. My ten day vacation has been ruined."
"""luggage was left in Atlanta""","✅ Trip Verified | Flight 2550 from Atlanta to Toronto was a nightmare. Had booked my flights Nov 2018 and yet was the last person to get a seat on the return from Atlanta to Toronto. Not only that but the gate personnel asked me to leave my carry-on bag at the gate as the plane was full and had been overbooked. I got the seat the last minute and when I arrived in Toronto, I found out my carry-on luggage was left in Atlanta with my winter jacket, phone charger and personal belongings in it. Will avoid Delta in the future."
"""Delta will be my first choice""","Not Verified | Pleasantly surprised. Flights left on time and arrived on time or early. Only one delay, which was expected, due to snowstorm in Boston. Delta communication regarding this delay was timely and accurate. I realized the evening I arrived home that I had left my Kindle in the seat pocket. The following day I opened a Lost Item Report with the airline. I did not have much hope that my Kindle would be found and returned. I received daily emails from Delta, and after 8 days the email stated that an item matching the one described by me was found. I followed the instructions for the item to be mailed to me. To my delight, I did receive my Kindle back and much quicker than stated in the emails! It is reassuring that an airline would take the time and effort to locate my Kindle and return it to me. This trip was my third in one month's time, the other 2 trips taken with a different major airline. Every one of those other trips resulted in at least a 2 1/2 hour delay for various reasons, some understandable and most not. Lack of communication from the other major airline, only one time was compensation offered, and each delay resulted in doubling the time it should have taken to travel to the destinations. Delta will be my first choice when planning my next travel adventure."
"""Very disorganized airline""","Not Verified | San Diego to Las Vegas. The flight was 2 hours delayed! And then when we finally got to the destination, we had to sit on the plane for 30-40 minutes waiting for them to finally find a gate. A 1.5 hour flight became a 6 hour ordeal. Would’ve been better off driving and would’ve gotten there faster. Very disorganized airline! Will think twice before flying Delta ever again."
"""Avoid it at all costs""","✅ Trip Verified | New York to Knoxville. Worst airline in the world. Avoid it at all costs. My flight was supposed to be at 9 pm they delayed it to 9.30pm, then to 10.05pm, further to 12.30 am. Finally they cancelled the flight. Booked me in for the morning flight at 9.00 am. And its already delayed by 2 hrs. I hope I get to my destination with Delta Airlines."
"""complete utter disrespect""","✅ Trip Verified | Salt Lake City to Akron . Complete waste and complete utter disrespect by the customer service department! My flight was “rescheduled” for an earlier time when I was an hour early. The lady at the counter was very rude and told me I had to buy an additional ticket to get home on top of a round trip ticket I originally purchased. And of course another hotel room and missing a day of work. Unorganized. Never flying with delta again!"
"""never fly with Delta again""","✅ Trip Verified | Los Angeles to Calgary via Seattle. This is a terrible airline. For the round trip, every flight was extremely late in it's boarding. Then, all of a sudden, our last flight got delayed by 3 hours. When we asked why, the Delta rep told us it was because of maintenance that the plane underwent earlier that morning, which apparently pushed everything behind schedule. What makes no sense is the fact that if the maintenance was undertaken in the morning and the schedule pushed back so much, why did it take until 10 minutes before out flight to make us aware of the huge delay? And why was the situation not rectified in any way? We did not receive any kind of compensation at all, and the only recognition of their fault was in one line in an email reading 'Apologies for the inconvenience.' This apology did not help me get to work the following day like I had planned. And I don't need a stupid travel voucher from this terrible company. I will never fly with Delta Airlines again and I hope those that do have much better experiences than I did."
"""every flight delayed / late""","✅ Trip Verified | Seattle to Calgary. On my trip with Delta, every single flight was delayed / late. Workers could care less. Using Canadian airlines such as WestJet really showed the discrepancy between the quality of the airlines. I will never fly Delta again. Poor customer service. Poor aircraft. Lack of support or accommodation for their short comings. It’s a common narrative from many people that Delta screws their customers over. Believe the hype."
"""not use this company again""","✅ Trip Verified | San Diego to Salt Lake City. Treat economy like trash. Don’t leave storage space for economy. Force economy passengers to check their bags in so that they can wait an hour to find their bag. They could care less about economy and allow more passengers then they have space for. Don’t even call the passengers economy but “the rest of the people on this flight”. Show favoritism for families not matter what age. I will not use this company again."
"""Stop overselling flights""","✅ Trip Verified | I flew from New Orleans to Phoenix through Atlanta today. I received a seat on the first leg of the flight and was placed on the stand-by list for the second leg. I am flabbergasted that I was not made aware of the stipulations of Delta’s “Basic Economy” fare prior to purchase and I received NO notification upon check-in of the fact that there was a chance I would not be flying all the way home tonight. After google informed me of my impending doom (this information was very hard to find on Delta’s website), I downloaded the Delta app in a panic. Thankfully, of the 21 people on the stand-by list, I was second in line. Surprisingly, there appeared to be 60 open seats. Because I purchased the basic fare, I had no option to upgrade. Why not just assign these open seats to individuals at purchase? Why not be transparent about the robbery of charging $600 for a “normal” fare while tricking those of us who can’t afford that into a “basic” fare that includes the chance of being stranded? Why guarantee me a flight for half of my trip and then leave me hanging in some strange city? This is a despicable way to do business. I will not be flying with Delta again. Stop overselling flights or be honest with your customers."
"""a negative experience""","✅ Trip Verified | . It seems every time I fly Delta I have a negative experience. From rude women that check you in to a freezing cold flight to delays to cancellations it seems I’ve been through it all. I make it a point to fly delta because I thought they were a pretty established airline (the prices reflect so). The customer service outside of the aircraft may be the worst!! I am about to throw in the towel on this airline. On this experience they delayed my flight from Erie 4 times which made us late to our connecting flight, I get to the gate completely out of breath to see that they locked the door on time (so they say) with 4 people not on the plane (that I saw). The only good experience I had in the half way flight just now was how calm the gentleman was with me (I was very irate) rebooking my ticket for the next day. Shame on delta."
"""Worst airline ever flown""","✅ Trip Verified | Los Angeles to Salt Lake City. Worst airline I have ever flown. The staff in LA are rude and not at all about customer service. The lady that was at the gate should not be working that job. The last row seat from Hawaii to LA was the worst flight in all my decades of flying. The seat doesn't recline and the seat in front of you is un your lap with no room at all to move. No leg room in the last row, other rows we were in on this trip were fine. I will never fly Delta again. They should teach the crew how to be customer friendly. The flight is to take off in 40 minutes and the staff is just chatting instead of helping the line of us that have been standing here over an hour from our connecting flight. Terrible people. Delta is horrible."
"""Good service""","✅ Trip Verified | Nashville to San Juan via Atlanta. All flights arrived early or on time. Seats were somewhat cramped because I am 6’1. Delta Comfort is worth the extra charge if you are tall. Great selection on entertainment. Good service. Definitely my choice between US airlines. Will fly again. Planes looked to be in perfect condition."
"""not happy with her answer""","✅ Trip Verified | We got in aircraft in Minneapolis and there was no room for my carry on bag. We were flying to Sydney via Los Angeles. I said I need my carry on bag for next flight, but flight attendant rudely told me if I don’t want to check my bag in then maybe I should catch next airplane. I am not happy with her answer. Next time I’d look for different airlines. I payed few thousand dollars for tickets and don’t want to be treated like that!"
"""Absolutely terrible customer service""","✅ Trip Verified | Two fights leaving Minneapolis to Fargo. I was on the later flight so tried to change to the earlier flight. Would of been charged $75 a ticket to change (me and my wife, two tickets $150) I literally did not have enough money to pay this and asked the ticket agent to help as I’ve switched flights before without being charged (on Delta). She said that it comes down to the day and how busy the flight is, and in her own words “comes down to the ticket agent and if they want to waive that fee or not”. I waited until everyone else was on board and pleaded with the ticket agent to help me out but they drug there feet and “thought about it” and chatted with each other about non work related subjects until it was to late and they closed the doors with me standing there. Bags in hand and 7 open seats on the flight. Absolutely terrible customer service. Not even a word out of her mouth or an apology for it. Just shut the gate and ignored me and went back to chatting with a different coworker."
"""service is pretty bad""","✅ Trip Verified | Los Angeles to Atlanta. Customer care service sucks and they are very unappreciative. They make it very hard for customers and their service is pretty bad. Hate the service."
"""this was a good flight""","✅ Trip Verified | Like the outgoing flight from JFK, boarding for this flight was quite orderly, proving that Delta's new boarding process worked. The seat on this 767 was more comfortable than the one on the A330, though legroom was a bit tight. However, the aircraft looked tired, and the IFE was a bit outdated. Meal service was good, providing this was a domestic flight. The flight departed and arrived on time, but it took longer than normal for our luggage to arrive at the carousel at JFK. Overall, this was a good flight."
"""professional and also sincere""","✅ Trip Verified | Toronto to Aruba via Atlanta. I would just like to thank the travel consultant Michael that helped my sisters and I when we had to make a flight down to Aruba in a hurry, due to my parents health. He helped us with the boarding and the booking of the return flight. It is very rare these days to have someone help as much as this employee did. He was very professional and also sincere with his actions."
"""Awful customer service""","Not Verified | Awful customer service. Flight crew are typically very nice and professional. Flights are more often on time than late, but when they are late they do not announce it until the last moment or even give wrong information to make it appear that the flight is not as delayed as it is and then they keep pushing official departure time by a couple of minutes at times until they reach the real departure time which makes it very hard to plan anything (connections, business, rides) in a reliable fashion. They will say that the flight won’t take off at 5 but 5.15, at 5.10 they say it will take off at 5.45, at 5.30 they say it will take off at 6, until they finally admit that that departure is delayed by 1.5 hours and it will happen at 6.30. In the meantime you have to change your subsequent plans 5 times due to incorrect information. Food served is extremely unhealthy. Beverages okay with wide variety of options."
"""staff were unwelcoming""","✅ Trip Verified | Orlando to Las Vegas with Delta Air Lines. The staff were unwelcoming and had a bad attitude when I tried to see if I could change my seat location. I don’t understand how you could have such horrible customer service! Your passengers are paying hundreds of dollars to fly and they can’t even be nice to you! I use to love this airline because the other companies were very bad! But now they are bad too! The Orlando gate agent was so rude, telling us to sit down, then when no one left the line she rudely was said “or not I guess”. Then she said it was gonna be a while before she would even help us, with an attitude!"
"""the worst experience""","✅ Trip Verified | Oklahoma City to Gainesville via Atlanta. By far the worst experience I’ve had! I’m a frequent flyer and this is the first time I’ve wrote a review. Flight was delayed twice, the connection flight has no outlets for chargers and you are paying all this money to fly. My luggage was still in Atlanta when I arrived to Gainesville which was a inconvenience to me, I had items I needed in my bag. Now I have to wait til my bag is delivered because of there mistake. I wouldn’t advise anyone to fly delta."
"""I feel unappreciated""","✅ Trip Verified | I work in Anchorage and have been commuting there and back from North Carolina every month exclusively and satisfactorily via Delta Airlines for the past eight years. However, Delta changed their mileage plan last year making it impossible to get any higher than gold status (downgraded from platinum). This made me start shopping tickets, and I noticed they were about $200 more per ticket than the next cheapest airline for months. I tried to call, and get them to price match so I could justify the $ to stay with the them, but was told they could not match prices unless it was the exact route. For someone who has been with them for so long, I feel unappreciated, and have been flying satisfactorily with American Airlines for the past couple months for much less money. Wish they tried harder to keep me."
"""seat did not seem comfortable""","✅ Trip Verified | New York to Los Angeles. First, I was impressed with Delta's new boarding process, which was by far the most organized one I have experienced at a US airport. Onboard, the 2-4-2 configuration was among my preferred one (I purposely booked flights based on the equipment). However, the seat did not seem comfortable (compare to other economy seats I've experienced). Cabin staff were courteous and pleasant. A cold meal (quite good), a separate snack service (though very small), and 3 rounds of beverage service were offered for this 5.5-hour flight; not bad at all. The IFE provided good selections, but no earphone is offered."
"""This was not a good trip this time""","✅ Trip Verified | Flew Kansas City to Salt Lake with Delta Air Lines. For the amount you charge for tickets you would think you would fix items like armrests. Both were broken going to Salt Lake and on my way back to Kansas City. I could never get the app for movies to work on my way to Kansas City. This was not a good trip this time."
"""cabin service was great""","✅ Trip Verified | The cabin service was great. There were a good variety of food and drink options onboard. Cabin staff were generally nice and friendly. However, the WiFi connection in economy cabin is too weak and my phone kept losing connection and re-trying. Only when I walked towards business class did it work better. The flight was nearly one hour early on arrival. There were a lot movies but just hard to find the one you want."
"""it was good value for money""","✅ Trip Verified | Raleigh Durham to Tokyo via Detroit. Besides the inexperienced fellow passengers who needed constant getting up and down during my flight and who shouted and laughed out loud at films, I had a terrific experience. I gave up on Delta several years ago, but booked a ticket well in advance for an extremely reasonable price. My mileage statement reflected this as I did not get 100% mileage, but it was to be expected. The flight attendants went out of their way to call me by my name, the food was good and served on Alessi service ware with real silverware (plastic cups), the AVOD has an incredible amount of movies and television shows to watch, the FA actually cleaned the toilets, and the seat comfort in premium economy was satisfying enough. We had no delays or drama on either of my journeys to and from the US from Japan. If the price is right, I will consider flying Delta again in the future as I was satisfied and felt it was good value for money."
"""far better than expected""","✅ Trip Verified | The overall online experience was awesome. Unlike domestic flights in US, Delta's cabin service on international routes (especially on those operated by its Tokyo Narita hub) is far better than expected. Both main meal and snacks were great. There were a good variety of movies. However, a search function is suggested since it's really hard to find one just by scrolling. The ground service however, could be improved. Majority of airlines operated in Changi airport offers early checkin service which allows passengers to drop their bags 24 hours in advance. It's specifically useful for early morning flights like this one."
"""never been more appalled""","✅ Trip Verified | Worst airline I’ve ever flown. They told us to line up by “zone” and my ticket did not have a zone. They never explained what to do if you do not have a zone. When one of the other passengers asked why we didn’t have a zone they basically told her since she bought the cheapest ticket she was boarding last. Worst customer service i have ever experienced. They also forced me to check in my bag and when I told them I had fragile objects in my suitcase, they simple told me, “then take them out.” I have never been more appalled by an airlines service. Will never fly delta or ever recommend it to family and friends"
"""particularly comfortable""","Not Verified | Ottawa to Palm Beach via New York. One of the aircraft flights was particularly comfortable (lots of leg room) Over all one of the best flights I have taken. Unfortunately before we landed back in Ottawa we had to circle several times due to an issue on the ground. However we were constantly informed which lessened any anxiety. All flights on this airline was very good. Would recommend."
"""never fly with them again""","✅ Trip Verified | Salt lake City to San Jose. The worst experience ever! Usually don't fly with Delta, but thought to give it a try. My flight was booked for Tuesday, 3pm. Got to the airport, to the gate that was on the screen. The gate doesn't show my flight, shows different flight. We started asking where is our flight information, why our flight is not on the gate screen. First, no Delta representatives were even there, finally few Delta employees showed up, nobody knows what's going on and why our flight is not on the gate's screen. The Delta representative got confused didn't understand what we were asking and multiple people were asking the same. After a while she realized what's going on but wasn't sure why our flight is not there. Then we were told that our flight was delayed by half an hour. After about an hour they told us the flight was delayed by another hour, after another hour the flight was cancelled! So frustrating! It's a short flight from SLC to SJC.. they rebooked us for 3 hours later from a different gate, far from the original. And they don't even know if they are going to make this flight. I have a midterm exam that i must attend for my school. I gave myself enough buffer from arrival to the exam time. Now I'm not gonna make it to my exam! Very stressful!! It's not a long flight (<2 hours) and with no layover. I signed for the skymiles account with Delta.. Now I'll cancel it and will never fly with them again."
"""Never flying delta again""","✅ Trip Verified | Detroit to Atlanta. I dont want to invest anymore time or money into Delta. Employees were not helpful and pretended not to see me while chit chatting with another employee. And when I was helped they acted annoyed. Traveling is stressful enough. Why would you treat your customers that way? Never flying delta again."
"""Most ridiculous experience""","✅ Trip Verified | Kahului to Salt Lake City. Most ridiculous experience I’ve ever had with an airline! Delta dropped the ball so many times over the last 48 hours that I’m seriously considering never using them again. I’m thankful they realized a problem with the plane before we took off, but they were seriously incompetent from that point on. We unboarded the plane around midnight, we’re told that we were on our own to find a hotel (at midnight), but they ended up helping some people secure a hotel, taxi, etc from a different kiosk. We ended up sleeping on a freezing cold concrete floor by the baggage claim, on one of the coldest night Maui has had in 10 years. It was pouring rain and windy as hell. They were actually getting snow on the peaks of Haleakala. We were told to go grab our luggage, but TSA was closed once we got down there, so we weren’t able to go back upstairs in the warm enclosure. Those who stayed up there were given blankets, pillows, and water, but the 6 of us downstairs were left to fend for ourselves. And that’s just we’re the drama began. One thing after another, over and over again, we dealt with issues from the Delta employees. People who didn’t know what they were doing whatsoever. More delays, sending info for the wrong runway, and BS from employees in Utah once we finally landed, 3 hours late, at 2:30 AM. 48 hours of no sleep, rude and ignorant employees, and no info relayed to those of us on the flight. Let’s just say that I’m glad to be home! They need more training on how to deal with these kind of situations, and if you’re going to be able to compensate some, you need to compensate all."
"""very disappointed with Delta""","✅ Trip Verified | I am very disappointed in flying with Delta today. I was flying back home to Tampa from Chattanooga with connecting flight in Atlanta. The flight out of Chattanooga was delayed that caused me to not get to Atlanta and off the plane until 5:23pm and my flight left at 5:29p. There was 0 communication between anyone to alert the next flight that there were multiple people that were coming from the delayed flight to hold or wait or do something so that we could all make it on the next flight out to Tampa. 27 people waiting on stand by for the next flight out. It's absolutely ridiculous that Delta did nothing to help their passengers get to original flight or help with getting on an additional flight out that was guaranteed a spot. I am beyond irritated with this airline, Southwest would have offered more assistance and help, I'm surprised Delta did not."
"""it has no customer service""","✅ Trip Verified | Atlanta to Rochester. Delta Air Lines is by far the worst experience I’ve had in many years of travel. Out of four legs of flights in a round trip, 3 were delayed, one by over an hour. In an attempt to reschedule one of my flights for a more advantageous time, I was told by a very rude gate agent that nothing could be done without being a platinum member. In a phone conversation involving the same issue, the agent hung up on me with no provocation. This airline does not have poor customer service, it has no customer service. I will avoid flying Delta at all costs in the future."
"""will never fly Delta again""","✅ Trip Verified | Boise to Punta Cana via Minneapolis / Atlanta. I have had multiple bad experiences with Delta, however, I have never written a review. Everyone has a bad day, right? Well this last time was it for us. We will never fly Delta again if we can help it. Our luggage was list, however, that wasn’t the problem. How it was handled was the problem. We got the run around a lot while in a foreign country, and are still dealing with things a few weeks later. Supporting businesses that care for their customers is very important to me. Clearly it wasn’t important for Delta. We did have kind personnel on most of the flights, and some of the customer representatives were nice. Unfortunately not all were, but the main issue lies with Delta and their policies and procedures. I wouldn’t recommend Delta to anyone I know."
"""put the cabin at ease""","✅ Trip Verified | Tonight my wife and I were on flight DL2784 from Atlanta to Seattle Tacoma. Before departure the pilot notified the passengers and crew there would be flurries on decent and landing. Well, mother nature had a little more snow in store for flight 2784. Just east of Seatle we were flying in blinding snow with an uncomfortable amount of turbulant air but the crew and the pilots were cool under pressure and their calm demeanor coupled with their preparedness put the cabin at ease. The pilots have nerves of steel and a flawless job landing the aircraft in snow and ice."
"""worst flying experience""","Not Verified | Seattle to Detroit. This has been the worst flying experience I’ve ever had in my life. They boarded the plane, drove to the runway, and turned around due to bad weather. The pilot never made any announcement about what was going on and we were on the runway for 2 hours for a 3.5 hour flight! They deplaned us and were not accommodating. The plane got delayed from 10:55 pm to 11:30 am the next day. They made all of the passengers sleep in the airport unless they paid for a hotel on their own. After all of the delays the staff managed to mess up my delayed boarding pass and didn’t even book a connecting flight like they told me. I only knew it wasn’t booked because I wasn’t confident and double checked. I will never fly with them again and neither should you!"
"""choose another airline""","✅ Trip Verified | Salt Lake City to Albeqerque. Here we go again with Delta! Delayed, then made it to the plane, pushed back, now back in the airport again. Possibly changing planes. I would say this is unbelievable, but this is par for the course with Delta. If you don’t have to fly Delta, choose another airline. Anything else would be an improvement."
"""will never fly Delta again""","✅ Trip Verified | Atlanta to Mexico City. We originally booked a flight from BWI to Merida Mexico for my godson's wedding. Delta canceled the flight and a representative from Delta rebooked us on a flight from BWI to Atlanta to Mexico city to merida. When we checked our flight the night before we joked that Delta was offering up to $500 to give up your seat. It was imperative for us to be in Merida by 5 pm for the rehearsal and dinner so that was not an option. On the leg of the flight from Atlanta to mexico city we only had a half hour to get from terminal A to terminal F. Atlanta is a large airport and we had to get from one side to the other. We arrived at the gate 15 minutes prior to departure. The delta rep at the gate said our seats had been sold and we needed to get on another flight. The next flight to Mexico city wasnt until 4 hours later and the flight from mexico city was also much later. Long story short we did not arrive in Merida until 230 am the next day. Needless to say we missed the wedding rehearsal and dinner. We filed a complaint with Delta and their canned response was basically saying that they were disappointed we had a bad experience and sorry their agent was not accommodating and they were forwarding our complaint to customer service. We will never fly Delta again"
"""two best flight attendants""","✅ Trip Verified | Rome to Atlanta. Had the two best flight attendants ever. There was a guy that refused to get out of my assigned seat even after both staff asked politely. Without causing a ruckus they directed me to a new seat which was even better with more leg room which is a premium for me since I’m very tall. They didn’t have to do what they did and I know plenty of flight attendants who would’ve handled the situation completely differently. I am very grateful!"
"""I am furious""","✅ Trip Verified | Boston to Orlando. They delayed my flight over 3 hours because of a “clamp” replacement that I’m sure is a very common and simple fix. After wasting half my day, they gave me a bag of unsalted almonds and said “we apologize”. Needless to say I am furious and my daughter’s trip to Disney World was ruined by their incompetence. Don’t use this airline if you can avoid it. You may end up wasting hundreds or thousands of dollars."
"""did not compensate my loss""","✅ Trip Verified | San Francisco to Atlanta. Coming from SFO, I had a layover in Atlanta before arriving in Burlington. My flight was scheduled to land at 10:20pm but we did not get to the plane until close to 11pm. After getting off the plane, I waited for awhile and I did not see my luggage. By the time my luggage was located at the service desk, it was already 12am and I was told that my luggage did not get delivered and was still in Atlanta. It was freezing cold in Vermont, I did not have my luggage or any change of clothes. I had work in the morning and was notified that my luggage would arrive by 10am. My luggage did not get delivered to my hotel until 5pm the next day, which surpassed the 6hour. The company did not compensate my loss with anything. No extra miles, ride to my hotel, or anything to help me get through the freezing cold weather. By the time I found news of my luggage, everything was closed already. If I didn't already have an account with Delta or if the flights to Vermont was limited, I would definitely choose another Airline. But after this experience, I don't think I would want to fly with Delta again."
"""will never fly Delta again""","✅ Trip Verified | Punta Cana to Des Moines via Atlanta. Our plane took off from Atlanta and made it to Des Moines then was turned around and sent back to Atlanta because of weather. Not Deltas fault at all. But when we got back to Atlanta we were told the flight would be leaving in the morning and they weren’t going to do anything for us so we just had to sleep in the airport. Then the next morning we get on the plane and have to wait for almost an hour because they couldn’t seem to coordinate filling the plane back up with fuel from the previous night! Evidently 8 hours isn’t enough time to put some fuel in an airplane. When we finally made it to Des Moines the 2nd time they told us we couldn’t land again and we were running out of fuel so we could only wait for 45 minutes before we’d have to re route to St Louis. An hour went by and we still couldn’t land so we ended up in Kansas City where they told us we weren’t allowed off the plane. Then it turned into oh you can get off but can’t get back on. Then it was “if we can’t land in Des Moines this time we are going to Atlanta so if you want off get off and we will pull your checked bags.” So we got off and inside the airport we were told to go to ticketing to have our bags pulled from the plane. At ticketing we were told to go to the baggage office. At the baggage office we were told “sorry you aren’t getting your bags. They’ll be wherever the plane ends up.” Which at this time was looking like it was going to be Atlanta. So naturally we went back to the plane where they told us sorry you already got off and there’s no way we can get you your bag. Delta has been nothing but horrible and unorganized through this whole thing and never has been able to help us out or do anything for us. I will never fly Delta again."
"""very unpleasant stewardess""","✅ Trip Verified | Atlanta to Lexington. We were on one of those rare flights with lots of room. My daughter and I moved to empty seats opposite each other, the stewardess asked and said we had to pay more for those empty seats and made us move back (even tho a minute earlier I watched the gate agent give a free upgrade to a gal boarding). The stewardess was unpleasant, not only ordered us back to our assigned seats but also made several others move, even just across the aisle. What was also interesting is I asked her name and she pulled her smock/jacket over where I could see her badge, reached down and tucked the badge completely out of reach. I moved one seat back so my daughter and I could each have separate rows and she made me move back “someone is sitting in that seat” which of course was a lie as no one boarded. An unpleasant experience with an very unpleasant stewardess."
"""no compassion with this company""","✅ Trip Verified | Due to weather I needed to change a flight reservation. After what I had already paid for the ticket they required a $200 change fee. Now I could understand if I was canceling to go with another airline or cancel altogether. I sat on the tarmac for 2.5 hours and now the needs of the trip have changed due to flight delays etc. I understand this is no ones fault, but I don't understand when seats are available on another flight, same day, just different time they charge especially with a 24 hour notice! I will definitely reconsider flights in the future as no one plans for a needed change, but there is also no compassion with this company!"
"""Communicated with passengers""","✅ Trip Verified | Houston to Minneapolis. PIC Excellent. Communicated directly with passengers with conditions, delays, what they were doing and why. He cane out and spoke directly to us and offered to answer questions."
"""not impressed with Delta's new flagship""","✅ Trip Verified | I've flown Delta's new A350 at least 8 times in the past year on transatlantic and transpacific routes from Detroit to China and Europe. I am not impressed with Delta's new flagship. In economy class, the aisles are very narrow and you are constantly getting bumped by flight attendants and passengers if you're in the aisle seat. Seats themselves are narrower than on other Delta aircraft, although legroom is adequate. The number of bathrooms in economy is seriously inadequate. Most disturbing, though, is the quality of the interior. It is very evident that costs were cut, as things are breaking down quickly. On this current flight, the window shade was stuck in the closed position as it looked like it was off-track. On another flight, it was a broken lavatory door. On a third flight, the lavatory light didn't work so you had to use the facility in total darkness. And most annoying, the entertainment system didn't work on yet another flight so all passengers were out of luck, no compensation was offered. I'm a Delta Platinum Medallion member and at the point where I'm purposely seeking out either A330 or 777 aircraft on my frequent trips to Europe where possible. Those older aircraft are more spacious and comfortable, and their interior fittings much more durable and reliable. It will be a sad day when the A350 replaces these other aircraft unless Delta does something to improve it."
"""a truly satisfying trip""","✅ Trip Verified | Salt Lake City to New York JFK. Cheerful, friendly crew; on time flights; generous and helpful inflight service; and orderly boarding — all combined to make for a truly satisfying trip. I am traveling on Delta more frequently and noticing continuing improvements. On these non stop flights we had two runs of beverages and snacks service - four choices from peanuts, Kind bar, cookies and pretzel mix! Attendants helped with stashing bags and winter jackets into overhead compartments. Personal entertainment screens were easy to use - a good selection of current movies. On the way out, they had no earphones to give out and I had not brought my own - so missed out on the entertainment. On the return, head phones were sold for two dollars! Both arrivals were ahead of schedule. Easy, comfortable trip from NYC to SLC in larger aircraft. Delta is the best option for this route."
"""didn’t hold it for 10 minutes""","Not Verified | Boston to Salt Lake City via Raleigh. Our plane from Boston was 10 minutes late and the put in a holding pattern over Raleigh so when we landed our connection to SLC had already left 5 min ahead of schedule. Even though there were 6 of us in the flight they didn’t hold it for 10 minutes for us even though Delta caused the delay. I didn’t get to SLC until 24 hours later. Not happy."
"""this trip was a shocker""","Not Verified | My husband and I had flown Delta to Seattle for holiday. I had previously flown Delta and loved the airline and had often paid more to book with Delta. But,I hadn't traveled via air for about 3 years so this trip was a shocker. The day of our return flight was foggy earlier in the day. Flights had been delayed earlier but not bad and I had flown in much worse fog before. Our flight was in the evening and it hadn't been foggy for at least 6 hours. However, about an hour before our departure Delta canceled a few flights including ours. They rebooked us on a flight leaving at about 11am the next morning and handed us meal vouchers that only covered a basic Subway sandwich with old browning veges. We asked the Delta agent for help and were booked on a flight that was leaving that night but the agent said it was weird because only about 5 other passengers were booked. We thought that was great of Delta to open another flight and expected the flight to fill quickly with the other stranded passengers. But a few minutes later we saw a man with a Delta badge approach the agent and tell her the flight was only to transport a pilot and co pilot with a full sized empty plane to salt lake city (our destination) and no passengers were allowed because there wasn't a flight crew. Why was that flight allowed to leave and not ours? Why didn't Delta scramble and come up with a crew for that flight!? What a waste. I'm not a crier, especially in public but I couldn't hold back the tears and it's not like there is anywhere secluded to go in an airport for privacy. So my husband and I had to stay the night in the airport and watched for openings on earlier flights. Thankfully we found a flight out at about 6am but we were up all night hungry, exhausted and I was completely humiliated. I had also called Delta's customer service asking for help but they said to talk with the agent at the airport. It was especially important for us to get back to Salt Lake because I had a surgery consultation at 10am in Salt Lake, that I had been waiting about 5 months for. We went straight from the airport to the appointment disheveled and gross. Ironically my appointment was for my foot which was swollen like a melon after sitting in the airport for over 12 hours. I used to recommend Delta to everyone but they've changed. I won't fly Delta and do yourself a favor and choose an airline that at least pretends to care."
