"selection1_name","selection1_selection2"
"""so upset with Southwest Airlines""","✅ Trip Verified | El Paso to Oklahoma via Dallas. What happened to all those employees who help in time of need? There were kids on the ground exhausted, people in distress by the boat load. You guys are so quick to tell good stories and how your employees help. They all went home to bed, the few that were there I could tell were bothered by the chaos and had no answers for anyone. There was one employee walking down the long line of people. I thought finally someone to help give us an update. No she was just trying to figure out why so many hundreds of people were in line at such a late hour. I guess if I didn’t start recruiting people at midnight to help find a taxi, UBER or Lyft to Oklahoma I would have slept on the floor and I think your staff would have left thinking that seems wild. It felt like we were treated just like that a wild animal who didn’t belong in the airport. Left @ 12:30pm from El Paso Texas Flight delayed while on plane 655pm due to fuel gauge? The ramp got stuck and there was an electrical problem. Still stuck on the plane. Pilot in disbelief and apologies We wait back in the boarding area only to be told the flight is canceled, hundreds of people get in line. All the staff looked panicked with no words of comfort to a lot of sleepy, tired angry people. We wait for hours to be told no flights till Tuesday, no vouchers for hotel, no rental cars available, too late to rent by midnight. 1am looking for a place to sleep. Decide to start asking Uber and Lyft after 5 drivers refusing to drive that far. I tried to go back into airport and they wouldn’t let me in. I’m tired, stuck with a floor to sleep on. I call Southwest Airlines 1800 number lady tells me she can’t refund my money because I’m attached to my bags. I’m told by other customer after Storm was over many other flights took off. Yet we were canceled. I took lyft to drive us to Oklahoma city. Now its 6.24 I need to figure out how to get my bags and rental car. what a nightmare I'm so upset with Southwest Airlines right now, they left me stranded, and for some reason decided our plane was canceled while others continued to leave to their destination."
"""had the whole gate area engaged""","✅ Trip Verified | New Orleans to Austin. Flight 2190 was delayed leaving New Orleans because of weather elsewhere but Janez at Gate 4B at Louis Armstrong Airport in New Orleans, La kept everyone in good spirits. She had the whole gate area engaged in a sing-a-long with incoming passengers; more than once inviting passersby to join in the fun. She went above and beyond her duty as a gate agent to insure that our day would not be ruined by a delayed schedule. Thanks to Janez and Southwest, frustrations were eased and smiles were plentiful!"
"""extremely poorly handled""","✅ Trip Verified | Oakland to Seattle. After being an hour late on mechanical issues, then loaded and taxing around then returned to the gate. Finally they bored a cop to escort off a passenger that ""wasn't listening to attendants"" along with his family. While doing it, the attendant joked about how cute folks thought the cop was. It was extremely poorly handled and now we are going to be 3 hours late. The keystone cops and attendants could not find their luggage. It was the worst flight I have had in the last 2 months and I have been on 5 business trips, so 10 flights. Now we have to gas up and get ok to leave again. Maybe we will never get there."
"""won’t fly them ever again""","✅ Trip Verified | Denver to Houston with Southwest Airlines. They cancelled the original flight, re-scheduled a new flight, delayed it three times. Too unreliable, I won’t fly them ever again, even if I have to pay more."
"""food and beverages substantial""","Not Verified | Flew Southwest back in June from Philadelphia to Kansas City via St. Louis and enjoyed the experience. Staff were amazing, flight was on time, and food and beverages were substantial for the short flights. My only minor gripe is that the seats could have been a little wider."
"""Boarding process is chaotic""","✅ Trip Verified | Dallas to Houston. Horrible service. Boarding process is chaotic and unorganized. Sat on the plane for over an hour. No explanations given. Could have driven to Houston faster and with less hassle."
"""canceled with no explanation given""","Not Verified | Richmond, VA to Houston, TX. Trip was planned with one stop in Atlanta, from there I would take another flight to Houston. The flight was canceled with no explanation given. Then they rebooked us to another flight that would leave 4 hours later. This meant we had to hang around for 4 hours in the airport. Then once it came for us to board see flight delayed for an hour, once again no explanation. Will never fly Southwest again."
"""Overall pretty average""","✅ Trip Verified | Burbank to San Jose. Overall pretty average. Staff was pretty good. Came with snacks and drinks. Inflight entertainment on app worked fine. Average selection of movies and TV shows. I think it had live TV too. Free messaging was pretty cool Slight departure delay SJC-SEA but we arrived just fine Legroom was pretty good-and I'm 6'2."
"""Countless hours wasted""","Not Verified | The past two Sundays my flights have been delayed then canceled. Countless hours wasted sitting in the airport waiting on Southwest. Staff not very helpful. Low fares come at too high a cost. This airline is not dependable."
"""No concern for the customer""","Flight from Tampa to Phoenix was rescheduled with no text message update. New flight was canceled an hour before flight after we got up at 3 am. Supervisor at Tampa airport was very rude when trying to reschedule flight for a third time. We lost an entire day of our vacation due to this and when I asked for priority boarding for our trouble I got a flat out “no”. No concern for the customer. Will never ever fly Southwest again."
"""pushed to the side, delayed""","✅ Trip Verified | Providence to Tampa. Not only did I spend over 10 hours on the Nashville airport floor sleeping on 6/9 because of flights and delays and no accommodations, I have now spent 7+ hours waiting at the providence airport on 6/13 Southwest Airlines where the staff here seem a little rude. I’ve been pushed to the side, delayed, and just have received poor customer service. My flights have been canceled twice now but have other flights flying from and to the same place through the same weather that has canceled my own flight, interesting. Now I have to arrange all my plans, spend more money, drive an hour to Orlando because the quickest way in was to Tampa, I missed work last week during that fight cancelation, I have to rent a car tonight, etc etc. It is just a little baffling there hasn’t been one employee to help accommodate completely ruining all of my plans and pushing me to the side when another customer decided his question was more important. I was told I’m getting two 50 dollar vouchers to southwest by a nice phone employee (the only one who seems somewhat reasonable) but I’ve been sitting here for 4 hours and haven’t received an email about that. Nice."
"Southwest Airlines customer review","Not Verified | Las Vegas to Nashville. The tag on the bag came off from Las Vegas to Denver. I was called about the bag, in the terminal. Thankfully the man from Southwest called me and made sure the bag was put on the right plane. It was great customer service."
"""Thank you Southwest""","✅ Trip Verified | On June 6 th my family was headed to my sisters wedding from El Paso TX to Island Park Idaho, where I was to be her bridesmaid. We landed in Salt Lake City. All of our luggage made it safely except one, the most important one. None of our clothes arrived. Being that we had a 4 hour drive we were not able to wait for it and later discovered it didn’t arrive until 9 pm or so. Staff member from baggage claim in Salt Lake did everything she possibly could to try and get me our luggage but fed ex wasn’t delivering over the weekend that far from Salt Lake. She told me to get clothes and necessities and Southwest would reimburse us. They did. She spoke with her manager and then called me back to see if someone could drive back and get the luggage they would give us a travel credit voucher. Unfortunately we could not but we still received a travel voucher. So we made the best of it. Upon return to Salt Lake airport the staff were wonderful, I gave them my receipts and they promptly wrote us a check to reimburse us for what we had spent on clothes. They retrieved our luggage. These unfortunate incidents do happen and although it does inconvenience one, it is not the end of the world. Thank you Southwest for making us feel better about our situation."
"""thank you so much for all you have done""","✅ Trip Verified | I flew from Atlanta to Norfolk Virgina to go to Outer Banks, on June 3rd. Left on June 9th from Norfolk back to Atlanta. It was a rough day. Flights were canceled all over. After a very long day and many flight changes I made it home safe, but my bags were lost. I was exhausted and frustrated. I had made a very dumb mistake and had something in my baggage that was very expensive. I was sick, I went to claim office and filed lost baggage. Was told and filed loss. Was told my baggage would be returned next day. I received a call next day it was found and would be returned by 8pm that night. Sure enough it was. I am very happy to report all was in my bags, the item I was most concerned about was in bag along with all else. I don’t fly much but when I do it is usually Southwest. Have to say that will be my number one from now on. Most staff I dealt with were amazing. Have only one regret, the man who delivered to me was the nicest man and regret I did not get his name. Southwest, thank you so much for all you have done."
"""very pleased with Southwest""","Not Verified | Baltimore to Palm Beach. I was very pleased with Southwest Airlines - I fly with them often and on 5/25/19 there were mechanical problems and the pilots timed out so we had to wait for a new crew. Southwest safely got us to west palm beach, although late, and then gave us a $75 Southwest Airlines voucher for our next flight. They managed the issues that were no fault of their own superbly."
"""Southwest no more""","✅ Trip Verified | Milwaukee to Washington. Disgusting. Flight out of Milwaukee on June 9th was moved two times, by several hours and ended up being a red eye, because they forgot they needed a first officer for a scheduled flight. Agents at gate C23 in MKE said there are no other options and no compensation. And I could not be routed to another airline because they don't have a contract. Their supervisors were rude, gave me a phone number for a closed customer support, and when I told them I will tweet about my experience, one of the supervisors said he could care less, as Southwest PR department will take care of any negative comments. This is the third time Southwest has completely messed up my work this year without any follow up or customer service. Three of three trips. Southwest no more."
"""absolute worse service""","Not Verified | Montego bay to Cincinnati. The absolute worse service & guarantee the other 109 passengers on this 4x delayed now cancelled flight would agree. Horrible service would be a lie. This is horrendous in every sense. The staff has been lazy, not helpful & very slow getting basic information to the passengers. If if were only me this wouldn't bother me so much. Having my 6yr old son with me at 1031pm still waiting to here about tomorrow's flight & what hotel were staying in frustrating. Our original flight was suppose to leave at 355pm."
"""I'm just out for the flight!""","Not Verified | I got no confirmation for my flight so I thought I must have forgotten to complete the reservation. 2 months later I realized I had been charged and after calling Southwest they said there had been a typo in my email address (.com was .cvm). They had my phone and could have reached out or someone could have noticed that I had misspelled .com and resent the email but they made no effort! The person I spoke to on the phone was rude and just said 'well you made the mistake'. I'm just out for the flight! Thanks Southwest!"
"""Southwest ruined our vacation""","Not Verified | We were flying out of Dallas to Rochester for a wedding, the flight was delayed & cancelled, we had a wedding to attend the next day, they put us on a flight flying to Buffalo Ny, I was forced to check in my carryon luggage, I had all my clothes, toiletries for the wedding. Our luggage was lost. We stayed in a hotel in Buffalo & paid for it. The baggage claim for lost luggage service was so rude. Southwest Airlines ruined our vacation. They overbook their flights. The service is terrible. If you are attending an important event or a short visit. I will not pick that airline."
"""my children were far from me""","Not Verified | Southwest Airlines is not an excellent option, because that system of free seats does not work. Groups of families traveling with minors within the ages of 10-15 can be separated from their parents by not finding a seat where they are together. I traveled from San Juan to Miami and back and my children at the ages of 13 and 16 were far from me and my husband."
"""obligated to check on those minors2","✅ Trip Verified | Atlanta to Cleveland. My daughter is 12 and when I asked a Southwest representative If someone would check on my daughter or sit with my daughter to ensure of her safety while flying alone sitting next to complete strangers, I was advised my daughter was an adult and is on her on while flying. I was livid to hear at 12 no flight attendant would check on the safety of my child. If this is your policy the protocol needs to be change immediately for the safety of our children. I am uncomfortable sending my child on Southwest Airlines knowing that no Southwest employee is obligated to check on those minors flying unaccompanied!"
"""We got free drinks""","Not Verified | Los Angeles to Phoenix. We boarded 5 minutes early, departed on time, & landed on time. We got free drinks, free peanuts, & free pretzels. But I then flew on Southwest again from Phoenix to Little Rock & also had a amazing experience. Those were my first 2 times on Southwest."
"""Worst flight and customer service""","Not Verified | Minneapolis to Sacramento via Denver. Worst flight and customer service experience ever experienced. I can understand that weather is out of their control but it’s how the flight changes were dealt with and poor customer service received that prompted this review. We were flying from Minneapolis-St. Paul to Sacramento on a Sunday over Memorial Day weekend. Unfortunately there was a layover in Denver and we missed the connecting flight. Automatically rebooked the flight to the following evening and they did not offer any accommodations. Also, because we were put on standby for the earliest flight the next day their system removed us from the confirmed flight the following day even though we were fifth in line for standby. They did not tell us this ahead of time and we slept in the airport because we would’ve paid $150 for 4 hrs of sleep since we would have to go thru security once more in the morning. When we did not make the cut for the following morning flight the later evening flight no longer had spots available. After two hours, and three service reps later we finally came across a service rep who cared enough to search for an earlier available flight to Sacramento. Abdenbi was so great and a blessing to our rough experience. Regardless I will never again voluntarily travel with southwest. They should have handled this better by making it right with anything (coupon voucher accommodation, etc.)"
"""courteous and helpful""","Not Verified | Newark to Santa Ana. This was our first flight on Southwest Airlines. We had several delays because of weather and had to sit for hours. The staff was so courteous and helpful. Everyone was apologetic and tried to accommodate whenever possible. In Particular, our customer service rep out of Newark, Ramon went above and beyond to get us to our destination. He checked in with us often to make us feel more at ease right up til we boarded our plane. Kudos to him! It was great to see so many smiling faces from that airline. Thank you to all."
"""is the worst airline""","✅ Trip Verified | Oklahoma City to Las Vegas. This is the worst airline I have flown in my 61 years, never again. It was not cheap by any means, I traveled with my wife and 2 children, we couldn’t find any seats even close to each other’s, very disorganized, flight attendants rude, not welling to help. Never again"
"""horrible experience we had""","✅ Trip Verified | We had a flight from San Antonio to Colorado to Vegas for Thursday at 7:45pm we had a wedding to get too. Our flight got delayed so we wouldn’t be flying out till 11:30. We sat at the airport all night for a few hours and then They offered all of the passengers $100 vouchers. As we went to get our $100 vouchers they said our flight was canceled it would be too late for us to leave from Colorado to Vegas when it landed so they said they Can re book us. They rebooked us to fly out of San Antonio BUT they split us up and we all are having to arrive at separate times ranges from early morning to late afternoon. We lost a night of a hotel we had already paid for because the hotel wouldn’t let us save our night for another one. We missed the wedding we were going for and one of our friends was stuck without a hotel since we wouldn’t get there till the next day to check In for her since it was underneath one of our names. Very disappointed they did a horrible job in accommodating us for the horrible experience we had. The lady said it’s out of her hands and we can either re book or leave it alone. Southwest Airlines has done nothing to make us feel like we didn’t lose out on time, hotel money and food and our friend was left stranded alone in the Vegas airport for a whole night."
"""first choice whenever possible""","✅ Trip Verified | We flew Southwest with a connection through Phoenix to San Antonio on March 20th. We boarded in Phoenix and weather in Texas caused a delay of over two hours. The staff was nothing but accommodating. Obviously they can't control the weather. Besides being polite and accommodating when we did finally get going they gave the entire plane a free drink service and then we woke up to find a 100.00 coupon in our emails for future travel. Southwest puts the ridiculous budget airlines to shame and will be our first choice whenever possible."
"""Will not be a repeat customer""","✅ Trip Verified | Austin to Phoenix. Our 7:15 a.m. flight was cancelled about an hour in advance, and the next available seats were the next day at 1:30 p.m. Southwest does not go the extra mile to help you reach your destination; they are not willing to work with other airlines, even when the responsibility for a canceled flight is on them. It’s unfortunate that the best they could manage was a 30 hour delay. My husband and I were planning our anniversary trip for months, and due to Southwest’s operations, we essentially lost two days of travel. Will not be a repeat customer."
"""disaster to incredibly happy""","Not Verified | I thought I had left early enough to get to the airport on time, but I grossly underestimated how long things sometimes take for parking, checking bags, etc. My original flight was supposed to leave at 5:30, but I had just gotten started getting my bags checked at 5:15. It wouldn't let me verify my flight in their system, but within a minute or so the employee had asked if I wanted to be rebooked on another flight at 5:50 going to the same place. So very quickly I went from disaster to incredibly happy, and the rebooking was free of charge. I thanked him, and even still managed to get a good seat on the first flight. Very nice gesture that my late but very much appreciated!!!"
"""no guarantee about the seat""","Not Verified | Las Vegas to Oakland. Never flown Southwest before this trip to the USA. Overall rating would be quite good, save for their seat policy. In Europe or Asia I've flown low cost airlines which, (sometimes for a small premium fee), allow you to choose your seat in advance. With Southwest you are only allowed to pay a, substantial, fee to be among the first to board, but with no guarantee about the seat. Should they allow seat reservation for a normal fee they would make a big improvement in what already is a good airline."
"""Very unhappy customer""","✅ Trip Verified | Dallas to Denver. Watched staff let all of A and B class take on more than one bag then forced people in other classes to stow all baggage regardless of their willingness. The agent was very disappointing in her response to why my single bag had to be checked while other were allowed to bring two or even three bags. She simply lied and said that didn’t happen them started saying sir over and over in a condescending manner. I finally just walked on the plane no ticket for my bag no idea if I’ll ever see it again. Why can’t I have a ticket for my single bag that I paid to bring on to the plane? Extremely condescending employee. Very unhappy customer."
"""I have decided to switch to Southwest""","Not Verified | Good afternoon. I wanted to take a minute to say thank you and share with you why you have converted me from another airline for life. My wife’s Grandmother was in her last days and hours of her life, the last week of March this year. My wife and I had planned on traveling to see her and had a ticket purchased already for my wife and one of my daughters, but we needed it changed and needed to get me and my other daughter a flight. For my work, I travel quite frequently from Nashville to Dallas among other places on another airline. Because of my status I like them to continue to build points with them. I called them first to book myself and my daughter a flight to Phoenix. They were of no assistance, would not budge on the price for an emergency, and would still charge me a large amount to move my points. I hung up. My wife then called Southwest. Not only did they get us booked last minute, they adjusted the pricing for an emergency, and helped us the whole way thru it moving our points around etc.. Even when we got to the airport, they bumped us to an even earlier flight to get us there as quickly as possible. What a blessing it was to fly with you. If we would have gone with the other airline, or had we not been bumped up to an earlier flight, we would not have made it in time to see her grandmother before she passed. We arrived within less than 2 hours of her passing. What you do for people every day may seem routine, but for us, it was a life changing moment. Having my wife be there before her grandmother passed means more to me than I can possibly express to you. As a result, I have decided to switch to Southwest for all of my work and personal trips going forward even though I do not have status with you. Sometimes I fly out of Knoxville where you do not service, but other than that, I will forever use you now. Thank you for making such a hard time for my family, just a little easier."
"""lost trust in Southwest""","Not Verified | Raleigh Durham to Austin via St Louis. My flight was scheduled for 8:00 pm departure. It was delayed waiting for passenger on a flight from Orlando. It looked like I might miss the connection in St. Louis. I checked at the service desk in Raleigh. They called and assured me that the plane would wait in St. Louis. I get to St Louis and I get off the plane and the flight to Austin is delayed 2 hours. I will arrive at 2:00 AM. I use lyft and I doubt that they will running at that time and I live 40 minutes from the airport. They couldn’t offer me a room in St Louis or any alternative. I really feel they are not telling me the truth. I have lost trust in Southwest. They are no longer my preferred airline."
"""on hold for almost 2 hours""","Not Verified | Nashville to St. Louis. After a two month wait and being promised by a customer care rep that my rapid rewards points would be restored (since I had account activity in the last 24 months) within 10-14 days, I found out (after being on hold for almost 2 hours total) that my request was elevated and denied by the administrative division at SWA. I will grease my butt and slide to my destination before I ever fly Southwest again! I don't know why they call it ""customer care"" because I can assure you Southwest could care less about their customers!"
"""What a miserable service""","✅ Trip Verified | What should have been a six-hour flight was changed to a 12-hour flight with 3 layovers. Pretty annoying. We left Philly, got to Dallas Lovefield airport and sat there for 1.5 hours. Then a flight to Albuquerque. Then to Las Vegas. Finally back to Spokane after that. We begged multiple times over multiple phone calls and emails to have our flight changed back or at least a voucher. So far, nothing but a ""sorry"". What a miserable service."
"""prices are low because their level is low""","✅ Trip Verified | Los Angeles to Oakland. A worst airline you can imagine. They do not assign seat numbers, overbooked the flight, no place for baggage. I will not recommend Southwest Airlines to anyone. Yes their prices are low because their level is low."
"""such a miserable trip""","Not Verified | My handicapped sister and I were to fly from BNA to LAX via Atlanta. Several passengers experienced a St Louis flight cancellation. We all sat on the plane until they figured out how to help them. In the meantime several more of us missed our connections as we sat on the aircraft. Those of us who missed our connection to LAX were sent first to New Orleans then to Austin, then to Phoenix arriving much later than our scheduled flight arrival time. We were exhausted, couldn't get off the plane to get something to eat. Having arrived many hours later than scheduled, we missed our prepaid shuttle at LAX that would have taken us to Ventura, not exactly an inexpensive cab ride home. I have been looking for the card given to me by the lady who helped us at the baggage claim area of customer service for Southwest. She found us a room because we were stranded. I'm very grateful to her for helping us. Its hard to believe Southwest put us in this position and made such a miserable trip of it."
"""just a terrible airline""","Not Verified | Orlando to Saint Louis. We only got 3 of the 4 bags we checked on a direct flight. The employees are clueless and lazy. The little bag of pretzels and quarter can of Sprite to wash it down with is insufficient. All around just a terrible airline and lousy experience."
"""It couldn't have gone any worse""","✅ Trip Verified | I took a returning flight from SJO to FLL yesterday with my 68yr old father who has Parkinson's. When I got off the plane there was no assistance. It was a complete disaster trying to get through baggage, declorations, and customs. I booked my flight to SJO with Spirit Air, who clearly at booking gives option for Wheelchair Assistance. Everything on the Spirit flight went smoothly. Not the case at all with Southwest. It couldn't have gone any worse. When I contacted Southwest customer service, I was completely dismissed and was told it was the airports problem. I was also told I should have not used the app and booked online so I could drop down a box some place and choose Wheelchair assistance. Doesn't sound so handicap friendly. Regardless I arrived at the airport 3 hours before my flight so I could get this handled and was left on my own with my father who can walk far with consistent tremors and dementia. Customer service could not careless."
"""the most horrible experience""","✅ Trip Verified | Austin to Houston. This trip which ended in Alabama was the most horrible experience I’ve had in all the years of traveling first the company that I went to work for chose the least expensive way to get me to the location. When I boarded the plane I was wearing a leather jacket that was owned by my stepfather who had passed away it was handed down to me for years. I had admired this jacket and I decided to take it with me for good luck at my sales event however it was rather bulky so when I got on the plane they were full and the airline stewardess asked if I would put the jacket in the above head storage. I’ve heard horror stories of arguing with a flight attendant and have seen too many movies so I complied and put it in the overhead bin. However I did not realize of the seating arrangements which is open seating when you get on the plane so the only seats that were available were the center seats which left me at a disadvantage where I couldn’t see the overhead bin that my jacket was it So when we landed I had to wait for everyone to move in order to get out of my seat and by the time I got to the bin where my jacket was to be it was gone I of course did not get upset because again did not want to be escorted off the plane so I asked as I got off about my jacket they said they would check on it once I get off. I waited about 15 minutes or so no one came out finally someone came out and said they could not find my jacket and that I would have to report it online because they had no one there to take the report which I thought was odd as a customer service gesture. When I finally spoke to them they told me that I need to report it online, after I done so all I heard from them is we haven’t found it we haven’t found it to this day. I have not heard from them again it’s as if they don’t care what happens to your belongings and they have no sense of responsibility how sad for the general public"
"""Staff is happy""","✅ Trip Verified | Dallas to Chicago. I love southwest. The airport is near downtown. Flight are on time. Free wifi for messaging and movies with southwest app. Two bags allowed to check in and no cancellation fee. American has 200$ rebooking fees for any airline credit u get. Staff is happy and want to help."
"""delayed and finally canceled""","✅ Trip Verified | Probably would not have been a bad experience if timing wasn't important but we had a connecting flight to meet up with a group of travelers to experience the adventure that most only hope to live. You look over the the rude comments and answers to your questions while checking in and think well I guess “you get what you pay for”. But when the flight was delayed, delayed, delayed and finally canceled. We start scrambling to make the connection only to be told I apologize sir all flights are booked (while looking through those glazed over eyes of I really don’t care sir please step aside so I can brush off the man behind you) we can put you on a flight tomorrow and there’s nothing more we can do. But our connecting flight with the group departs tonight. Again expression doesn’t change “I apologize”. I’m sure she was only caring out the script she had previously rehearsed in a training send down from corporate. Well we missed our connecting flight and because of the logistics will miss the first two days of the journey. I feel bad I was difficult today, I guess you get what you pay for. I assure you this airline will never have to apologize to me again"
"""Terrible customer service""","Not Verified | Indianapolis to San Diego with Southwest Airlines. Terrible customer service. Changed my flight from a non-stop to 1 stop. Ruined my one vacation that I get every year. Horrible ""customer relations"" wouldn't let me speak to anyone apart from a staff member =who kept repeating that there was nothing they could do."
"""taken a sharp turn for the worse","Not Verified | Austin to Phoenix. Southwest had cancelled our returning flight and moved us to an earlier flight and were never notified us of the change. When we showed up at the airport they told us we missed our flight. The ""supervisor"" basically told us it was our fault because the only thing we had to show him was our original booking document. He said, ""Oh that document is from February, so it doesn't count"", but he never even claimed that we had been notified of the change. We ended up wasting an extra eight hours at the airport. Southwest has screwed up three of the last five trips we have taken with them. Their customer service has taken a sharp turn for the worse."
"""never fly Southwest again""","✅ Trip Verified | Houston to Phoenix. Don't check bags on this airline!! Worst service ever. Injured back and needed to check all my bags to avoid carry on. Checked two bags. When i arrived in Phoenix one bag was delivered to the baggage claim area the other was not. Of course its my bag that includes laptop, along with keys to my truck, keys to my shop and many important documents. When i asked the southwest rep where my bag was she told me to wait and see if it shows up on the next flight. Its 9am here and the next plane lands at 2:40pm. The rep could not track my bag or find its location. I can't even file a claim on the bag until after 3pm today. This airline is a joke. You get what you pay for i guess. I will never fly Southwest again."
"""switching to American""","✅ Trip Verified | Our family of 10 booked tickets to the Dominican Republic, and they cancelled the flight going home. They have another flight the following day, and they said there is nothing they can do. It will cost us $1,200 to stay in a hotel near the airport for another day. The top tier customer service line said they cannot offer vouchers and almost directly said they don't care. They've offered vouchers to offset costs for hour-long delays before at airports (I've seen it), but they strand people in a foreign country for an additional 24 hours and don't care? We waited 2 years for this vacation and use Southwest exclusively to build up points. We will be cancelling our Southwest credit card and switching to American for all points and flights. Unacceptable."
"""On time, affordable, accommodating""","Not Verified | Atlanta to Houston. Southwest is the best thing to ever happen to airfare. On time, affordable, and accommodating. But above all, their Rapid Rewards program is the best. Easy to earn free flights, and easy to redeem / book for free. We've been flying them for a decade and will never fly anyone else."
"""caring, thoughtful person""","Not Verified | On August 28th, 2018 my family and I were flying back from what was suppose to be an amazing vacation. Unfortunately and unexpectedly, we lost my father while we were on vacation and he was with us. As we boarded our flight, one of the flight attendants recognized us from our departure, and asked if we were down a family member.. We said yes and told our tragic story. After learning of our unfortunate circumstances, Gisela was the most amazing, caring, thoughtful person ever to step into our lives at the very moment we needed her! Offering to help with loose ends and comfort. She was absolutely an angel! Thank you so much Gisela."
"""liked Southwest overall""","Not Verified | I enjoy that the flight attendants bring snacks and drinks around multiple times during my flight from Saint Louis, MO to Sacramento, CA. The flight attendants are welcoming and pleasant. I recently started ordering WIFI. I have ordered WIFI 3 times. 2 times out of 3 the wifi connection is awful and end up not being able to use the wifi I pay for. So I will never pay to use this wifi again. It does not work well. Waste of money. Besides my one complaint l have liked Southwest overall and will continue flying with them."
"""nobody seems to know or care""","Not Verified | Las Vegas to Baltimore via Chicago. Never never again. Our first flight was supposed to be to Midway/Chicago then on to BWI but it was cancelled due to weather. Understandable, not a huge issue. We were given a direct flight to BWI which left Vegas 9 hours later then they rerouted us to Norfolk, left us here for 5 hours then just delayed us another 2 hours!! I have no idea where or luggage is or will be and nobody seems to know or care. Never again will I travel with Southeast and I will make sure nobody I know does either."
"""had the worst experience""","✅ Trip Verified | I had the worst experience with Southwest. They cancelled my 6am flight from New Orleans to Omaha without notifying me. I checked out of my hotel room and got to the airport at 4:15 in the morning to discover my flight had been cancelled. I waited in line for 3 hours to find out the didn’t have a flight until the next morning. I had to book another flight with American Airlines in order to get back home. On top of the terrible service and having to spend 16 hours in an airport, I emailed the airline to see what they could do for me and they refused to do anything for my inconvenience. I will never fly southwest again."
"""Not flying Southwest again""","✅ Trip Verified | Southwest is supposed to be a good airline? That’s an urban myth. They cancelled my direct flight from Vegas to Orlando without apology or explanation, and offered nothing for me losing an entire day after having to rebook a connecting flight later in the day. They wouldn’t even provide me an earlier cattle call position. Not flying Southwest again."
"""really helped me""","Not Verified | Recently my friend and I flew from Kansas City to San Juan, transferring through Baltimore. Coming back we left San Juan to Kansas City, transferring through Tampa. My friend had shoulder surgery less than three months ago, and was still handicapped. She had called ahead of time, as she is not able to walk very far, and the airline (when ask) always had a wheelchair and person to put her on the plane, or take her off, which really helped me, as I was carrying our overhead bags. Since she has long legs, one of the flights she had to sit about 3 rows back, with the seat next to the isle. The bad part of this was that she could not stretch her legs, like if she was on the front row, and the arm rest would not lift up, for her to push herself out. The other 3 flights she was able to sit in front, and the only thing she missed was the tray on the ""newer"" flights that helps hold the snack and drink, where the older air planes do not have this. All the airline personnel, no matter who they were were always helpful on these 4 flights. I am used to using a Kiosk in Kansas City outside, and San Juan only has one inside, and that made it hard, trying to drag all the luggage inside."
"""such a bad experience""","Not Verified | St. Louis to Las Vegas. Booked earliest flight 5.30am depart to 7 am arrival to make it to a brunch and even paid extra night at resort to check in before 3. Received email flight cancelled and rebooked automatically 10.30am to 1.30pm - no phone call for other flight options?! Called representative to ask for earlier flight for both of us .. after 30 minutes was able to make the changes for both of us, I thought. Received an email next day saying I missed my flight and was considered ""a no show"". The phone representative booked the wrong date for 1 of our tickets! I called to complain to representative and they were unable to refund my ticket! I had to purchase a new ticket on my credit card. He referred me to another customer service line, waited 50 minutes on hold before being assisted. Then I was told they would ""try"" to refund me when it was clearly the employees fault! After arguing my case politely and being on additional holds, I was told I would be refunded within 30 days. So my credit card remains double charged for 30 days? 3 hours on the phone and 4 people later on the phone and still waiting for my refun. I have been a loyal Southwest Customer and even referred friends for the Rewards Card; however, this was the worst experience I've encountered. Extremely disappointed. You think they would at least give some sort of voucher for such a bad experience. I had to argue to not have to double pay security fees and tickets."
"""so unbelievably nice to me""","✅ Trip Verified | This review is actually for a flight I will catch tomorrow. Southwest was so unbelievably nice to me just now that I had to do something nice for them. Think about that for a second. A large corporation was so good to me that I searched for a way to show a little gratitude? This is a first for me. I am so used to ATT nickel and diming me every chance they can, and my bank finding new ways to pull more fees out for any slip up on my part, that I thought my money was gone when I realized that I forgot to change my flight to tomorrow. Their policy is that you can change or cancel and get a refund on any flight as long as you do this before your flight takes off. That policy, 2 me, makes SWA the best. Buses and movie houses won't give you a thing if your plans change and they would only be giving you a few dollars. Well this time I forgot to change the flight and thought that they are already being so generous to let customers change their minds for free there is no way they would help me out after I failed to simply do my part. I called and my flight is tomorrow. No charge. Any other airline would have cost another $180. Southwest, you had every right to charge me again, but you didn't. I owe you one."
"""I had not canceled it before""","✅ Trip Verified | Due to the terrible storms that recently took place in Dallas, Texas, I was unable to travel to California for two days. The flights the following days, of course, were full since everyone had rescheduled, and I had to cancel my trip. I was traveling on American Airlines to California first, and then Southwest from Burbank to San Jose Airport. Because I could not get to California in time to catch my Southwest Flight, I had to cancel it. It was canceled two days before I was to leave (April 7 canceled). I then received an email at the time the flight was supposed to take off in Burbank that said I had not canceled the flight and that I would lose all my money because I had not canceled it before the time of departure. The huge storms in Dallas were not my fault, and Southwest should have at least credited my account for a future flight. Nearly all other airlines do this. They refused to do this. I won't be flying them anymore. There service has become increasingly worse during recent years, and there pricing policies (e.g., the business seats scam we all know about) are byzantine."
